condition,seed,basin,negative_day_fraction,maximum_deficit_mm,nse_decline
zero_L1095,47,04024430,0.9983570646221248,48.8601188659668,1.5951380729675293
smax_L365,11,03364500,1.0,187.1007843017578,0.5753790736198425
smax_L365,11,11230500,0.10213581599123768,6.672444820404053,0.016597449779510498
smax_L365,11,11151300,0.9876779846659365,7.7385358810424805,24.550585567951202
smax_L365,11,07208500,0.9994523548740416,52.624210357666016,2.2572879791259766
smax_L365,11,12092000,0.9778203723986857,6.698966979980469,-0.00445324182510376
smax_L365,11,06350000,0.9997261774370209,8.953094482421875,2.313183009624481
smax_L365,11,11475560,0.8329682365826944,123.35369110107422,0.012047886848449707
smax_L365,11,08190500,1.0,13.702296257019043,55.594093918800354
smax_L365,11,11522500,0.4361993428258488,18.49594497680664,0.035122573375701904
smax_L365,11,12383500,0.45700985761226726,5.886113166809082,-0.029148876667022705
smax_L365,11,12035000,1.0,15.470210075378418,0.013394415378570557
smax_L365,11,09404450,0.9430449069003286,6.808534622192383,20.56104004383087
smax_L365,11,02300700,1.0,78.33739471435547,0.6171191930770874
smax_L365,11,06280300,0.3321467688937568,5.154984474182129,0.0026041269302368164
smax_L365,11,09513780,0.982749178532311,7.624955654144287,0.34364068508148193
smax_L365,11,03455500,0.9786418400876232,17.109169006347656,0.24324381351470947
smax_L365,11,09047700,0.6125410733844469,25.291271209716797,5.2781952023506165
smax_L365,11,12411000,0.5191675794085433,53.25225830078125,0.06239032745361328
smax_L365,11,14138870,1.0,61.57783126831055,0.07800042629241943
smax_L365,11,01434025,0.9972617743702081,7.424957275390625,0.1127578616142273
smax_L365,11,08158810,0.9969879518072289,113.80864715576172,0.2994565963745117
smax_L365,11,02363000,1.0,234.15924072265625,1.392745852470398
smax_L365,11,10259000,0.7740963855421686,7.607992649078369,1.0964420437812805
smax_L365,11,04024430,1.0,116.46894073486328,1.2373510599136353
smax_L365,29,03364500,0.9997261774370209,110.32604217529297,0.8562827706336975
smax_L365,29,11230500,0.0032858707557502738,8.18664264678955,0.00033026933670043945
smax_L365,29,11151300,0.9244249726177437,5.985509872436523,7.4378586411476135
smax_L365,29,07208500,1.0,8.342028617858887,4.847597241401672
smax_L365,29,12092000,1.0,12.995654106140137,-0.018595993518829346
smax_L365,29,06350000,1.0,121.90979766845703,4.782339632511139
smax_L365,29,11475560,1.0,128.6687469482422,-0.01911073923110962
smax_L365,29,08190500,1.0,30.911832809448242,10.98929214477539
smax_L365,29,11522500,0.37458926615553123,37.13254928588867,0.017262041568756104
smax_L365,29,12383500,0.009036144578313253,2.1303725242614746,-0.0013133883476257324
smax_L365,29,12035000,1.0,133.5893096923828,0.02118539810180664
smax_L365,29,09404450,0.9526286966046003,49.52825164794922,-0.1881433129310608
smax_L365,29,02300700,1.0,58.97138977050781,1.0028512477874756
smax_L365,29,06280300,0.595290251916758,9.260076522827148,0.06811630725860596
smax_L365,29,09513780,0.9671412924424972,7.7571797370910645,0.020194530487060547
smax_L365,29,03455500,0.8975903614457831,165.8391876220703,0.5866979360580444
smax_L365,29,09047700,1.0,35.79753112792969,2.6515581011772156
smax_L365,29,12411000,1.0,272.5939025878906,0.25715893507003784
smax_L365,29,14138870,1.0,147.54660034179688,0.1579480767250061
smax_L365,29,01434025,0.9906900328587076,122.10750579833984,0.3233233094215393
smax_L365,29,08158810,0.9909638554216867,64.56680297851562,0.5315690040588379
smax_L365,29,02363000,0.9978094194961665,230.17196655273438,2.2990840673446655
smax_L365,29,10259000,0.26478641840087624,3.4884493350982666,0.032933712005615234
smax_L365,29,04024430,1.0,32.92865753173828,2.093012809753418
smax_L365,47,03364500,1.0,187.23863220214844,0.712238073348999
smax_L365,47,11230500,0.0807776560788609,7.863931179046631,0.0051621198654174805
smax_L365,47,11151300,1.0,18.96922492980957,26.42162048816681
smax_L365,47,07208500,0.9564622124863089,11.3497896194458,1.7912623286247253
smax_L365,47,12092000,0.8083242059145673,7.131206512451172,-0.017549514770507812
smax_L365,47,06350000,0.9994523548740416,33.52429962158203,9.869825601577759
smax_L365,47,11475560,1.0,65.32209014892578,0.014274537563323975
smax_L365,47,08190500,1.0,17.83177947998047,88.11821013689041
smax_L365,47,11522500,1.0,11.878664016723633,-0.009961426258087158
smax_L365,47,12383500,0.8162650602409639,0.6275621652603149,-0.0021559596061706543
smax_L365,47,12035000,1.0,22.182029724121094,0.02763444185256958
smax_L365,47,09404450,0.9989047097480832,71.67798614501953,18.35462075471878
smax_L365,47,02300700,1.0,24.868135452270508,0.720035195350647
smax_L365,47,06280300,0.4375684556407448,5.110786437988281,0.03137409687042236
smax_L365,47,09513780,1.0,43.15974044799805,1.758428156375885
smax_L365,47,03455500,0.9455093099671413,14.346236228942871,0.40646034479141235
smax_L365,47,09047700,0.5150602409638554,7.257115364074707,0.603485643863678
smax_L365,47,12411000,0.6495071193866374,26.52115249633789,0.26784348487854004
smax_L365,47,14138870,1.0,20.827754974365234,0.11829161643981934
smax_L365,47,01434025,1.0,18.605871200561523,0.24789011478424072
smax_L365,47,08158810,1.0,238.89334106445312,0.26187461614608765
smax_L365,47,02363000,1.0,159.84671020507812,2.538111925125122
smax_L365,47,10259000,1.0,82.95047760009766,2.1056689023971558
smax_L365,47,04024430,0.9983570646221248,48.86024475097656,1.5945727229118347
