basin_id,seed,status,original_nse,reachable_nse,nse_decline,negative_test_day_fraction,maximum_storage_deficit_mm,material_negative_storage,high_skill_original_path,nse_declines_under_ordered_path,huc_02,gauge_lat,gauge_lon,elev_mean,area_gages2,aridity,frac_snow,frac_forest,aridity_stratum,snow_stratum,area_stratum
01350000,29,complete,0.6792243123054504,0.2489863634109497,0.43023794889450073,0.877053669222344,185.77447509765625,True,True,True,02,42.31953,-74.43654,612.78,612.51,0.580392881071257,0.231159657658639,0.9966,humid,snow-influenced,medium
01350000,47,complete,0.6703576445579529,0.2859785556793213,0.3843790888786316,0.9761774370208105,16.27434730529785,True,True,True,02,42.31953,-74.43654,612.78,612.51,0.580392881071257,0.231159657658639,0.9966,humid,snow-influenced,medium
01350080,11,complete,0.47969532012939453,-0.09895431995391846,0.578649640083313,0.9926067907995619,9.346186637878418,True,False,True,02,42.37703,-74.41292,587.35,83.84,0.641037691812962,0.221156578322867,0.994,humid,snow-influenced,small
01350080,29,complete,0.4896812438964844,-0.9689160585403442,1.4585973024368286,0.9750821467688937,264.8538513183594,True,False,True,02,42.37703,-74.41292,587.35,83.84,0.641037691812962,0.221156578322867,0.994,humid,snow-influenced,small
01350080,47,complete,0.3483095169067383,-1.0771684646606445,1.4254779815673828,0.9704271631982475,21.06317710876465,True,False,True,02,42.37703,-74.41292,587.35,83.84,0.641037691812962,0.221156578322867,0.994,humid,snow-influenced,small
01350140,11,complete,0.5359668731689453,0.1500440239906311,0.3859228491783142,0.9975355969331873,10.144389152526855,True,True,True,02,42.42897,-74.47293,579.74,43.76,0.639883125621386,0.219859026682811,0.991,humid,snow-influenced,small
01350140,29,complete,0.5667681694030762,-0.22587919235229492,0.7926473617553711,0.9893209200438116,217.19593811035156,True,True,True,02,42.42897,-74.47293,579.74,43.76,0.639883125621386,0.219859026682811,0.991,humid,snow-influenced,small
01350140,47,complete,0.5067538022994995,-0.13424944877624512,0.6410032510757446,1.0,20.64085578918457,True,True,True,02,42.42897,-74.47293,579.74,43.76,0.639883125621386,0.219859026682811,0.991,humid,snow-influenced,small
01365000,11,complete,0.6688199043273926,0.548040509223938,0.12077939510345459,0.9964403066812705,9.123226165771484,True,True,True,02,41.86648,-74.4871,465.17,99.57,0.546833503767649,0.202270211093681,1.0,humid,snow-influenced,small
01365000,29,complete,0.6203020811080933,0.18958711624145508,0.4307149648666382,0.9893209200438116,170.5828094482422,True,True,True,02,41.86648,-74.4871,465.17,99.57,0.546833503767649,0.202270211093681,1.0,humid,snow-influenced,small
